Domain,Topics,Non-expert summary,Expert summary
History,Industrial Revolution,A period of major industrialization and technological innovation that began in Britain in the late 18th century and spread throughout the world.,"A period of significant economic, technological, and social change characterized by the rise of factories, the mechanization of production, and the growth of capitalism."
,Renaissance,A period of great cultural and artistic rebirth that began in Italy in the 14th century and spread throughout Europe.,"A period of significant cultural and intellectual change characterized by a renewed interest in classical antiquity, humanism, and scientific inquiry."
,Cold War,"A period of political and ideological tension between the Western powers, led by the United States, and the Eastern powers, led by the Soviet Union, that lasted from the end of World War II until the collapse of the Soviet Union in 1991.","A period of global geopolitical competition and conflict characterized by the nuclear arms race, proxy wars, and the struggle for ideological influence between the two superpowers."
,Age of Exploration,"A period of European exploration and colonization of the Americas, Africa, and Asia that began in the 15th century and continued into the 17th century.","A period of significant global exploration and expansion characterized by the search for new trade routes, resources, and markets, as well as cultural and scientific exchange."
,French Revolution,A period of political and social upheaval in France that lasted from 1789 to 1799 and resulted in the overthrow of the monarchy and the establishment of a republic.,"A period of significant political and social change characterized by the rise of popular democracy, nationalism, and radical political ideologies."
,World Wars,"Two major global conflicts that took place in the 20th century and involved most of the world's nations, resulting in significant loss of life and major geopolitical changes.","Two of the most significant and devastating military conflicts in human history characterized by the use of new technologies, total war, and significant geopolitical shifts."
,Civil Rights Movements,"A series of social and political movements in the United States and other countries that sought to secure legal and social equality for marginalized groups, particularly Black Americans.","A series of social and political movements characterized by nonviolent protests, civil disobedience, and legal challenges that sought to dismantle systemic racism and discrimination."
,Age of Enlightenment,"A period of intellectual and cultural movement that swept through Europe in the 18th century and emphasized reason, scientific inquiry, and human progress.","A period of significant intellectual and cultural change characterized by the rise of rationalism, skepticism, and the scientific method."
,American Revolution,A political upheaval in the 13 British colonies in North America that began in 1765 and resulted in the establishment of the United States of America as an independent nation.,"A period of significant political and social change characterized by the rise of republican ideals, nationalism, and the development of new political institutions."
,Crusades,A series of religious wars waged by Christian Europe against Muslim forces in the Middle East between the 11th and 13th centuries.,"A series of military expeditions characterized by religious fervor, cultural exchange, and significant geopolitical consequences for Europe and the Middle East."
Art,Composition,The way in which the elements of an artwork are arranged and organized within the picture plane.,"The arrangement and organization of visual elements within an artwork, including considerations of balance, symmetry, proportion, and rhythm."
,Color Theory,"The study of color and its properties, including hue, value, saturation, and complementary relationships.","A complex and nuanced field of study that examines the ways in which color is used and perceived in art, including color psychology, color symbolism, and the cultural and historical contexts of color use."
